subject,dataset,modality,n_seq,feature,purity_gmm,ari_gmm,blocknull_gmm,blockp_gmm,cohesion_gmm,cohesion0_gmm,purity_kmeans,ari_kmeans,blocknull_kmeans,blockp_kmeans,cohesion_kmeans,cohesion0_kmeans,silhouette,silhouette_label
S18,Angelique,Mixed,24,diffERP_all,0.6667,0.0719,0.5793,0.2323,0.5,0.5139,0.7917,0.3105,0.5946,0.0229,0.5833,0.5035,0.3736,0.1743
S19,Angelique,Mixed,24,diffERP_all,0.5833,-0.0151,0.6026,0.7348,0.8333,0.5139,0.5833,-0.0151,0.6026,0.7348,0.8333,0.5139,0.4553,-0.0262
S21,Angelique,Mixed,24,diffERP_all,0.5833,-0.0113,0.586,0.7046,0.6667,0.5556,0.5417,-0.0379,0.594,1.0,0.5833,0.5035,0.3559,-0.0398
S22,Angelique,Mixed,24,diffERP_all,0.5417,-0.0353,0.5756,1.0,0.4167,0.5312,0.5417,-0.0379,0.5808,1.0,0.4167,0.5035,0.4203,-0.037
S23,Angelique,Mixed,24,diffERP_all,0.625,0.0202,0.6071,0.529,0.75,0.5035,0.5833,-0.0151,0.5944,0.7408,0.6667,0.5139,0.4312,0.0766
S24,Angelique,Mixed,24,diffERP_all,0.7917,0.3105,0.6079,0.053,0.75,0.5035,0.7917,0.3105,0.6079,0.053,0.75,0.5035,0.4303,0.2364
S25,Angelique,Mixed,24,diffERP_all,0.6667,0.0754,0.5722,0.1773,0.5,0.5556,0.7083,0.1363,0.5945,0.1397,0.5833,0.5035,0.3385,0.0715
S26,Angelique,Mixed,24,diffERP_all,0.625,0.0227,0.5901,0.448,0.5833,0.5312,0.6667,0.0719,0.5796,0.2335,0.5,0.5139,0.4565,-0.0041
S27,Angelique,Mixed,24,diffERP_all,0.5417,-0.0379,0.6078,1.0,0.75,0.5035,0.5833,-0.0164,0.6091,0.7849,0.8333,0.5,0.422,-0.0149
S28,Angelique,Mixed,24,diffERP_all,0.5,-0.0455,0.6081,1.0,0.8333,0.5,0.5,-0.0455,0.6081,1.0,0.8333,0.5,0.5726,0.0101
S29,Angelique,Mixed,24,diffERP_all,0.5833,-0.0151,0.5797,0.6881,0.5,0.5139,0.6667,0.0719,0.5786,0.2278,0.5,0.5139,0.4137,0.0956
S31,Angelique,Mixed,24,diffERP_all,0.625,0.0202,0.5802,0.389,0.4167,0.5035,0.625,0.0202,0.5802,0.389,0.4167,0.5035,0.5537,0.0041
S32,Angelique,Mixed,24,diffERP_all,0.75,0.2169,0.594,0.0799,0.6667,0.5139,0.75,0.2159,0.5955,0.0808,0.6667,0.5,0.4638,0.1395
S33,Angelique,Mixed,24,diffERP_all,0.5833,-0.0113,0.5506,0.5491,0.3333,0.5556,0.5833,-0.0151,0.5629,0.6346,0.3333,0.5139,0.4727,0.0196
S34,Angelique,Mixed,24,diffERP_all,0.8333,0.4221,0.5868,0.0023,0.6667,0.5556,0.7917,0.3105,0.5939,0.0228,0.5833,0.5035,0.4148,0.2991
S35,Angelique,Mixed,24,diffERP_all,0.625,0.0202,0.5939,0.469,0.5833,0.5035,0.5417,-0.0353,0.59,1.0,0.5833,0.5312,0.4546,0.0012
S37,Angelique,Mixed,24,diffERP_all,0.5,-0.0337,0.5535,1.0,0.5,0.625,0.5417,-0.0301,0.5809,1.0,0.5833,0.5868,0.4656,-0.0336
S38,Angelique,Mixed,24,diffERP_all,0.7083,0.1363,0.5806,0.0741,0.4167,0.5035,0.7917,0.3105,0.5953,0.0207,0.5833,0.5035,0.4036,0.0864
S01,Talia,Dig,24,diffERP_all,0.5417,-0.0301,0.6117,1.0,0.625,0.3802,0.5417,-0.0379,0.578,1.0,0.125,0.2552,0.4116,0.0296
S02,Talia,Dig,24,diffERP_all,0.5417,-0.0301,0.5654,1.0,0.25,0.3802,0.5833,-0.0164,0.5851,0.7059,0.25,0.25,0.3975,0.0251
S03,Talia,Dig,24,diffERP_all,0.8333,0.4199,0.6222,0.0586,0.625,0.2708,0.9167,0.6806,0.63,0.0305,0.75,0.25,0.4303,0.3013
S04,Talia,Dig,24,diffERP_all,0.875,0.5428,0.6413,0.0609,0.75,0.2552,0.875,0.5428,0.6413,0.0609,0.75,0.2552,0.5048,0.358
S05,Talia,Dig,24,diffERP_all,0.6667,0.0891,0.5726,0.4355,0.75,0.5833,0.75,0.2169,0.6223,0.1755,0.625,0.2708,0.3157,0.1755
