dataset,subject,measure,z,p,n_assignments,q
Angelique,S13,roi_mean,0.16992549940717788,0.4765625,64,0.6808035714285714
Angelique,S15,roi_mean,1.1291679680979723,0.1796875,64,0.48677884615384615
Angelique,S16,roi_mean,-0.7565034679259649,0.796875,32,0.8537946428571429
Angelique,S18,roi_mean,0.3307651321237935,0.3515625,64,0.5550986842105263
Angelique,S19,roi_mean,-0.6626756819524474,0.7265625,64,0.8072916666666666
Angelique,S21,roi_mean,2.0579303288592796,0.0078125,64,0.1171875
Angelique,S22,roi_mean,1.2105652973817633,0.1953125,64,0.48677884615384615
Angelique,S23,roi_mean,0.452731568135567,0.3203125,64,0.5550986842105263
Angelique,S24,roi_mean,1.0793948216329616,0.1640625,64,0.48677884615384615
Angelique,S25,roi_mean,0.8872345430303611,0.2109375,64,0.48677884615384615
Angelique,S26,roi_mean,1.9866701606344093,0.0078125,64,0.1171875
Angelique,S27,roi_mean,-0.33277936448959416,0.6484375,64,0.796875
Angelique,S28,roi_mean,-0.04835645278298452,0.5078125,64,0.6924715909090909
Angelique,S29,roi_mean,0.6268953183011885,0.2734375,64,0.5550986842105263
Angelique,S31,roi_mean,1.5849917975966898,0.0390625,64,0.29296875
Angelique,S32,roi_mean,-0.7234122975406243,0.6640625,64,0.796875
Angelique,S33,roi_mean,1.2994875759007731,0.1328125,64,0.48677884615384615
Angelique,S34,roi_mean,-1.1301944892729183,0.8671875,64,0.8970905172413793
Angelique,S35,roi_mean,-1.6304263729201296,0.9765625,64,0.9765625
Angelique,S37,roi_mean,0.08106591072827968,0.4453125,64,0.66796875
Angelique,S38,roi_mean,0.7912490466758737,0.2890625,64,0.5550986842105263
Talia,S01,roi_mean,0.08165044741387295,0.40625,16,0.90625
Talia,S02,roi_mean,-0.6825716353251663,0.71875,16,0.90625
Talia,S03,roi_mean,1.112377389429938,0.15625,16,0.78125
Talia,S04,roi_mean,-1.0584209251253391,0.78125,16,0.90625
Talia,S05,roi_mean,0.19979447231274441,0.40625,16,0.90625
Talia,S06,roi_mean,-0.6505639081217418,0.71875,16,0.90625
Talia,S07,roi_mean,-1.2713197692207452,0.90625,16,0.90625
Talia,S08,roi_mean,-1.1919370727531178,0.84375,16,0.90625
Talia,S09,roi_mean,-0.3654830942521601,0.59375,16,0.90625
Talia,S10,roi_mean,1.0773995631588567,0.15625,16,0.78125
Talia,S11,roi_mean,1.1873952543200257,0.03125,16,0.46875
Talia,S12,roi_mean,-0.6907265697932518,0.65625,16,0.90625
Talia,S13,roi_mean,-1.4076911618337513,0.90625,16,0.90625
Talia,S14,roi_mean,0.9576687325568358,0.21875,16,0.8203125
Talia,S15,roi_mean,-1.026639629831141,0.78125,16,0.90625
