dataset,subject,measure,stat,z,p,n_assignments,q
Angelique,S33,csp2_diff,1.298727539345382,-1.042006216352536,0.890625,64,0.8984375
Angelique,S34,csp2_diff,1.1928934929002395,0.3834166818021359,0.2734375,64,0.7457386363636364
Angelique,S35,csp2_diff,0.5376425890408569,1.2151862704006509,0.078125,64,0.4296875
Angelique,S37,csp2_diff,0.14071596266898023,-1.1480160065701632,0.8984375,64,0.8984375
Angelique,S38,csp2_diff,0.1800509843961251,-0.22556491179968596,0.578125,64,0.7883522727272727
Talia,S01,csp2_diff,0.39941695186022397,1.2388615136921002,0.21875,16,0.42613636363636365
Talia,S02,csp2_diff,0.9027095031395955,1.3020586365897644,0.15625,16,0.42613636363636365
Talia,S03,csp2_diff,0.2715425544924841,0.6853581255087134,0.3125,16,0.42613636363636365
Talia,S04,csp2_diff,0.3578173136220473,0.6075484496799154,0.15625,16,0.42613636363636365
Talia,S05,csp2_diff,0.3803031904532137,0.30473304372780186,0.28125,16,0.42613636363636365
Talia,S06,csp2_diff,0.5081057653472136,0.6651094041979806,0.3125,16,0.42613636363636365
Talia,S07,csp2_diff,0.22370357182296985,-0.22543792958504166,0.3125,16,0.42613636363636365
Talia,S08,csp2_diff,0.4001042807947197,0.4421397949116834,0.5625,16,0.703125
Talia,S09,csp2_diff,0.3361876153635128,1.8427625385781665,0.03125,16,0.42613636363636365
Talia,S10,csp2_diff,0.12758356985559516,-0.8601932257974122,0.9375,16,0.96875
Talia,S11,csp2_diff,0.14793289719518476,1.2333762753274649,0.1875,16,0.42613636363636365
Talia,S12,csp2_diff,0.5810465551316017,-0.7068045988355558,0.78125,16,0.9014423076923077
Talia,S13,csp2_diff,0.19759906535977478,-1.9618645021483687,0.96875,16,0.96875
Talia,S14,csp2_diff,0.32899212123694177,1.1555632077358224,0.1875,16,0.42613636363636365
Talia,S15,csp2_diff,0.16510166843200924,0.15544772613836724,0.28125,16,0.42613636363636365
Angelique,S02,csp2_mean,0.9717719382893257,-0.6376177731109964,0.734375,64,0.9793526785714286
Angelique,S03,csp2_mean,2.208858778215907,0.22729564152905257,0.4921875,64,0.9793526785714286
Angelique,S04,csp2_mean,0.26272406028864737,1.852437879455614,0.046875,64,0.9793526785714286
Angelique,S05,csp2_mean,3.837527321983389,0.6447147772258721,0.2890625,64,0.9793526785714286
Angelique,S07,csp2_mean,0.9282172248394716,1.3193387132948506,0.1015625,64,0.9793526785714286
