subset,arm,op,subject,z,p,n_assignments
D1 words,ctrl,roi_tmpl,S10,-0.7009438074158597,0.625,8
D1 words,ctrl,tdca,S10,-1.0664732551915024,0.875,8
D1 words,ctrl,roi_rms,S11,0.9038221151921444,0.3125,8
D1 words,ctrl,roi_tmpl,S11,-1.5331329975886294,0.875,8
D1 words,ctrl,tdca,S11,1.5000475625029113,0.125,8
D1 words,ctrl,roi_rms,S13,-0.49810817570927246,0.6875,8
D1 words,ctrl,roi_tmpl,S13,-1.054699882609096,0.875,8
D1 words,ctrl,tdca,S13,-0.3110458540993583,0.625,8
D1 words,ctrl,roi_rms,S15,1.2206153209686401,0.1875,8
D1 words,ctrl,roi_tmpl,S15,1.4313362785830908,0.125,8
D1 words,ctrl,tdca,S15,-0.26748542534859826,0.625,8
D1 words,ctrl,roi_rms,S16,-0.9076511043040234,0.8125,8
D1 words,ctrl,roi_tmpl,S16,-0.010362212157513692,0.375,8
D1 words,ctrl,tdca,S16,-0.29039863022847984,0.625,8
D1 words,ctrl,roi_rms,S18,0.1623424027495192,0.3125,8
D1 words,ctrl,roi_tmpl,S18,-0.23129463112237097,0.625,8
D1 words,ctrl,tdca,S18,-1.1562045258485028,0.875,8
D1 words,ctrl,roi_rms,S19,-0.6212025768980162,0.6875,8
D1 words,ctrl,roi_tmpl,S19,0.09253164577561866,0.375,8
D1 words,ctrl,tdca,S19,1.609704883351607,0.125,8
D1 words,ctrl,roi_rms,S21,1.4919132733995384,0.0625,8
D1 words,ctrl,roi_tmpl,S21,-0.09361663066071992,0.375,8
D1 words,ctrl,tdca,S21,0.6305724039533769,0.375,8
D1 words,ctrl,roi_rms,S22,-0.14860687026021288,0.5625,8
D1 words,ctrl,roi_tmpl,S22,0.00016269079807227878,0.375,8
D1 words,ctrl,tdca,S22,-0.5647756259517254,0.625,8
D1 words,ctrl,roi_rms,S23,0.679237080980649,0.3125,8
D1 words,ctrl,roi_tmpl,S23,0.8680935381590488,0.125,8
D1 words,ctrl,tdca,S23,0.08811635044787375,0.375,8
D1 words,ctrl,roi_rms,S24,-0.2398093698409338,0.6875,8
D1 words,ctrl,roi_tmpl,S24,-0.5426424607113167,0.625,8
D1 words,ctrl,tdca,S24,0.8247705786977266,0.375,8
D1 words,ctrl,roi_rms,S25,1.1540903219417376,0.1875,8
D1 words,ctrl,roi_tmpl,S25,0.11419770690812106,0.375,8
D1 words,ctrl,tdca,S25,-0.8592706391989499,0.625,8
D1 words,ctrl,roi_rms,S26,1.4729099341344645,0.0625,8
D1 words,ctrl,roi_tmpl,S26,-0.4640523869285208,0.625,8
D1 words,ctrl,tdca,S26,-0.9046207512954634,0.875,8
D1 words,ctrl,roi_rms,S27,-0.7221666207964464,0.8125,8
D1 words,ctrl,roi_tmpl,S27,0.6246524734758212,0.375,8
D1 words,ctrl,tdca,S27,0.42187050455287933,0.375,8
D1 words,ctrl,roi_rms,S28,-1.5337900023988944,0.9375,8
D1 words,ctrl,roi_tmpl,S28,1.2995268995174116,0.125,8
D1 words,ctrl,tdca,S28,0.154818062238656,0.375,8
D1 words,ctrl,roi_rms,S29,1.1013764099500374,0.0625,8
D1 words,ctrl,roi_tmpl,S29,0.3498092284369977,0.625,8
D1 words,ctrl,tdca,S29,1.1653550526246574,0.125,8
D1 words,ctrl,roi_rms,S31,1.3809531607359593,0.0625,8
D1 words,ctrl,roi_tmpl,S31,1.5928850480583536,0.125,8
D1 words,ctrl,tdca,S31,-0.709186691411313,0.625,8
D1 words,ctrl,roi_rms,S32,-1.0192092896968543,0.8125,8
D1 words,ctrl,roi_tmpl,S32,-0.35918272713077204,0.625,8
D1 words,ctrl,tdca,S32,-0.8120084725653707,0.625,8
D1 words,ctrl,roi_rms,S33,1.2657140433319158,0.1875,8
D1 words,ctrl,roi_tmpl,S33,-1.2348640549435597,0.875,8
D1 words,ctrl,tdca,S33,1.247516236517793,0.125,8
D1 words,ctrl,roi_rms,S34,-0.943567289663133,0.8125,8
D1 words,ctrl,roi_tmpl,S34,-0.9417228556284167,0.875,8
D1 words,ctrl,tdca,S34,-1.0096407079275072,0.875,8
D1 words,ctrl,roi_rms,S35,-1.1734913442711778,0.9375,8
D1 words,ctrl,roi_tmpl,S35,0.8992531992540486,0.125,8
D1 words,ctrl,tdca,S35,-0.6127584321202673,0.625,8
D1 words,ctrl,roi_rms,S37,0.32676385892054965,0.4375,8
D1 words,ctrl,roi_tmpl,S37,-0.363350779854293,0.625,8
D1 words,ctrl,tdca,S37,0.3761108579382066,0.375,8
D1 words,ctrl,roi_rms,S38,0.7155147319613236,0.3125,8
D1 words,ctrl,roi_tmpl,S38,-0.3470929471768933,0.625,8
D1 words,ctrl,tdca,S38,1.5818181224468182,0.125,8
D1 all,disc,roi_rms,S02,1.4472120931721426,0.0703125,64
D1 all,disc,roi_rms,S03,1.1715004100402404,0.1171875,64
D1 all,disc,roi_rms,S04,-0.7406034224090045,0.7421875,64
D1 all,disc,roi_rms,S05,-1.2818203053957633,0.8828125,64
D1 all,disc,roi_rms,S07,1.3324363924244789,0.1171875,64
D1 all,disc,roi_rms,S08,1.00637352228743,0.1796875,64
D1 all,disc,roi_rms,S09,2.0824912525615042,0.0078125,64
D1 all,disc,roi_rms,S10,-0.42933044444304075,0.6796875,64
D1 all,disc,roi_rms,S11,-0.08259083335993588,0.5234375,64
D1 all,disc,roi_rms,S13,0.49565884518150655,0.3359375,64
D1 all,disc,roi_rms,S15,1.5055727268734815,0.0859375,64
D1 all,disc,roi_rms,S16,1.0152081237580224,0.171875,32
D1 all,disc,roi_rms,S18,-0.8169137377608141,0.7734375,64
D1 all,disc,roi_rms,S19,-0.050433016492857356,0.5234375,64
D1 all,disc,roi_rms,S21,-0.427374447123258,0.6640625,64
D1 all,disc,roi_rms,S22,-0.522156904134579,0.6796875,64
D1 all,disc,roi_rms,S23,2.2402892572362703,0.0078125,64
D1 all,disc,roi_rms,S24,1.4144437120672224,0.1015625,64
D1 all,disc,roi_rms,S25,-1.155265520711352,0.8671875,64
D1 all,disc,roi_rms,S26,0.9549794202368105,0.1953125,64
D1 all,disc,roi_rms,S27,-0.2968639893006826,0.6484375,64
D1 all,disc,roi_rms,S28,-0.06187668171538168,0.5078125,64
D1 all,disc,roi_rms,S29,-1.1135873590292482,0.8671875,64
D1 all,disc,roi_rms,S31,-0.06749861446879361,0.5234375,64
D1 all,disc,roi_rms,S32,0.892174949617682,0.2109375,64
D1 all,disc,roi_rms,S33,-0.6121043427907116,0.7109375,64
D1 all,disc,roi_rms,S34,0.7985013293747618,0.2734375,64
D1 all,disc,roi_rms,S35,0.1704592063003768,0.3984375,64
D1 all,disc,roi_rms,S37,-0.22567039238889805,0.5859375,64
D1 all,disc,roi_rms,S38,-0.09911426963280279,0.5703125,64
D1 all,ctrl,roi_rms,S02,1.743425296081775,0.0234375,64
D1 all,ctrl,roi_rms,S03,1.1479514783453624,0.1328125,64
D1 all,ctrl,roi_rms,S04,1.7167259971378699,0.0546875,64
D1 all,ctrl,roi_rms,S05,0.39888691317372044,0.3515625,64
D1 all,ctrl,roi_rms,S07,1.030801215183191,0.1640625,64
D1 all,ctrl,roi_rms,S08,0.4303490001604881,0.3203125,64
D1 all,ctrl,roi_rms,S09,-0.34549255705411525,0.6328125,64
D1 all,ctrl,roi_rms,S10,-0.6618715140436561,0.7109375,64
D1 all,ctrl,roi_rms,S11,1.437146821086753,0.0703125,64
D1 all,ctrl,roi_rms,S13,0.17632793553849666,0.4765625,64
D1 all,ctrl,roi_rms,S15,1.121205850849716,0.1796875,64
D1 all,ctrl,roi_rms,S16,-0.7574616245314065,0.796875,32
D1 all,ctrl,roi_rms,S18,0.32164569729930337,0.3515625,64
D1 all,ctrl,roi_rms,S19,-0.6569623060397823,0.7265625,64
D1 all,ctrl,roi_rms,S21,2.0532078404510896,0.0078125,64
D1 all,ctrl,roi_rms,S22,1.2214382495511589,0.1953125,64
D1 all,ctrl,roi_rms,S23,0.4451401043869156,0.3203125,64
