table,feature,dataset,stouffer_z,stouffer_p,n,mean,lo,hi,t,p,k,sign_p,wilcoxon_p
group,snr_ratio_roi,D2,1.8138688080357996,0.03484896297013902,15,0.3200199999999999,-0.21118051848848302,0.8512205184884829,1.2921196647558182,0.10861893424481874,9,0.30361938476562494,
roi,erp_elec,D1,,,30,0.19705699999999998,0.06055568927875793,0.33355831072124204,2.9525490668202496,0.003094096589627031,20,0.049368573352694525,0.0033197682350873947
roi,erp_elec,D2,,,15,0.2171330555555556,-0.11867699273423918,0.5529431038453504,1.3868080762746646,0.0935931513278496,9,0.30361938476562494,0.114654541015625
roi,erpmean_elec,D1,,,30,0.14284141666666667,0.036508479931737364,0.24917435340159597,2.747441277006778,0.005108966225371574,19,0.10024421103298667,0.006023811176419258
roi,erpmean_elec,D2,,,15,0.06495372222222225,-0.22859954753413309,0.35850699197857755,0.4745710339679058,0.3212051245512587,7,0.696380615234375,0.3193359375
roi,erp_ratio_elec,D1,,,30,0.10560552777777778,-0.04568069585358121,0.2568917514091368,1.4276749766091015,0.08203307850420406,20,0.049368573352694525,0.12671805266290903
roi,erp_ratio_elec,D2,,,15,0.13144244444444445,-0.15200872014537223,0.4148936090342611,0.9945840422980154,0.16840946213608018,7,0.696380615234375,0.227142333984375
roi,snr_elec,D1,,,30,0.20593011111111112,0.06689005892011363,0.3449701633021086,3.0291585828345635,0.00255630381023674,23,0.0026114396750926976,0.0007916418835520744
roi,snr_elec,D2,,,15,0.20728711111111112,-0.023873517917286813,0.43844774013950905,1.9232800946974093,0.037511865985245106,9,0.30361938476562494,0.053497314453125
roi,snr_ratio_elec,D1,,,30,0.13542705555555554,-0.0268593245320716,0.29771343564318264,1.7067324332418934,0.04927987625916433,20,0.049368573352694525,0.045974813401699066
roi,snr_ratio_elec,D2,,,15,0.1430381666666666,-0.07533806218574948,0.3614143955190827,1.4048523382925908,0.09093181246095955,8,0.4999999999999999,0.114654541015625
signal_vs_control,Full pattern,D1,,,30,1.1444866666666667,0.642042631837888,1.6469307014954453,4.658704041515763,3.271986592631304e-05,25,0.00016245711594820025,4.95128333568573e-05
signal_vs_control,Full pattern,D2,,,15,1.7044666666666672,1.1219790373404948,2.2869542959928397,6.276043013815195,1.017810930169348e-05,14,0.00048828125,6.103515625e-05
signal_vs_control,ROI amplitude,D1,,,30,-0.22518000000000002,-0.757166230041904,0.3068062300419039,-0.8657081420681991,0.1968779785782903,15,0.572232224047184,0.7219433626160026
signal_vs_control,ROI amplitude,D2,,,15,0.8510200000000001,0.1191177033735129,1.5829222966264873,2.4938524931057784,0.012885424379178993,10,0.15087890624999997,0.027679443359375
signal_vs_control,ROI enrichment,D1,,,30,0.05421558333333332,-0.12002389813282191,0.22845506479948854,0.6363845734951142,0.26475855650119934,16,0.42776777595281607,0.24492304399609566
signal_vs_control,ROI enrichment,D2,,,15,0.15217933333333336,-0.23630406777718674,0.5406627344438535,0.8401702810892654,0.20746569736594905,8,0.4999999999999999,0.210601806640625
