dataset,subject,elec_idx,elec,z,p
Angelique,S04,49,C4,-1.0447,0.99219
Angelique,S04,50,C6,-1.6709,0.94531
Angelique,S04,51,T8,0.7273,0.33594
Angelique,S04,52,TP8,0.3858,0.38281
Angelique,S04,53,CP6,-1.0422,0.82031
Angelique,S04,54,CP4,-1.8605,0.99219
Angelique,S04,55,CP2,-0.5877,0.74219
Angelique,S04,56,P2,-1.1274,0.99219
Angelique,S04,57,P4,-1.6791,0.97656
Angelique,S04,58,P6,-1.9292,0.97656
Angelique,S04,59,P8,-1.2129,0.85156
Angelique,S04,60,P10,-1.6513,0.99219
Angelique,S04,61,PO8,-1.5735,0.97656
Angelique,S04,62,PO4,-1.4711,0.97656
Angelique,S04,63,O2,-1.1485,0.99219
Angelique,S04,64,PO9,-1.0799,0.96094
Angelique,S04,65,I1,-0.298,0.63281
Angelique,S04,66,I2,-1.1447,0.92969
Angelique,S04,67,PO10,-1.2804,0.99219
Angelique,S05,0,Fp1,1.3171,0.03906
Angelique,S05,1,AF7,0.8138,0.36719
Angelique,S05,2,AF3,-1.4389,0.89844
Angelique,S05,3,F1,-1.9924,0.99219
Angelique,S05,4,F3,0.197,0.42969
Angelique,S05,5,F5,-1.481,0.91406
Angelique,S05,6,F7,0.0555,0.41406
Angelique,S05,7,FT7,-0.1245,0.55469
Angelique,S05,8,FC5,-0.8481,0.74219
Angelique,S05,9,FC3,-0.1477,0.50781
Angelique,S05,10,FC1,-1.0986,0.83594
Angelique,S05,11,C1,-1.2963,0.88281
Angelique,S05,12,C3,0.7397,0.35156
Angelique,S05,13,C5,-0.9761,0.75781
Angelique,S05,14,T7,-1.202,0.83594
Angelique,S05,15,TP7,-0.0524,0.57031
Angelique,S05,16,CP5,-0.9306,0.75781
Angelique,S05,17,CP3,1.4176,0.05469
Angelique,S05,18,CP1,0.9909,0.32031
Angelique,S05,19,P1,-1.3181,0.88281
Angelique,S05,20,P3,0.3836,0.39844
Angelique,S05,21,P5,0.6244,0.25781
Angelique,S05,22,P7,-0.9728,0.78906
Angelique,S05,23,P9,-1.2266,0.83594
Angelique,S05,24,PO7,0.6288,0.39844
