dataset,subject,modality,font,n_seq,purity_kmeans,feature,level
Angelique,S38,Dig,20F/S,4,0.5,SNR_occ,font
Angelique,S38,NumWoGE,1F,4,0.5,SNR_occ,font
Angelique,S38,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S38,NumWoGE,20F/S,4,0.75,SNR_occ,font
Talia,S01,Dig,10F/M,6,0.5,SNR_occ,font
Talia,S01,Dig,10F/S,6,0.5,SNR_occ,font
Talia,S01,Dig,1F,6,0.5,SNR_occ,font
Talia,S01,Dig,20F/HD,6,0.6667,SNR_occ,font
Talia,S02,Dig,10F/M,6,0.6667,SNR_occ,font
Talia,S02,Dig,10F/S,6,0.8333,SNR_occ,font
Talia,S02,Dig,1F,6,0.6667,SNR_occ,font
Talia,S02,Dig,20F/HD,6,0.8333,SNR_occ,font
Talia,S03,Dig,10F/M,6,0.8333,SNR_occ,font
Talia,S03,Dig,10F/S,6,0.6667,SNR_occ,font
Talia,S03,Dig,1F,6,0.6667,SNR_occ,font
Talia,S03,Dig,20F/HD,6,0.8333,SNR_occ,font
Talia,S04,Dig,10F/M,6,0.6667,SNR_occ,font
Talia,S04,Dig,10F/S,6,0.8333,SNR_occ,font
Talia,S04,Dig,1F,6,0.8333,SNR_occ,font
Talia,S04,Dig,20F/HD,6,0.5,SNR_occ,font
Talia,S05,Dig,10F/M,6,0.8333,SNR_occ,font
Talia,S05,Dig,10F/S,6,0.5,SNR_occ,font
Talia,S05,Dig,1F,6,0.6667,SNR_occ,font
Talia,S05,Dig,20F/HD,6,0.6667,SNR_occ,font
Talia,S06,Dig,10F/M,6,0.6667,SNR_occ,font
Talia,S06,Dig,10F/S,6,0.6667,SNR_occ,font
Talia,S06,Dig,1F,6,0.6667,SNR_occ,font
Talia,S06,Dig,20F/HD,6,0.6667,SNR_occ,font
Talia,S07,Dig,10F/M,6,0.5,SNR_occ,font
Talia,S07,Dig,10F/S,6,0.6667,SNR_occ,font
Talia,S07,Dig,1F,6,0.8333,SNR_occ,font
Talia,S07,Dig,20F/HD,6,1.0,SNR_occ,font
Talia,S08,Dig,10F/M,6,0.8333,SNR_occ,font
Talia,S08,Dig,10F/S,6,0.5,SNR_occ,font
Talia,S08,Dig,1F,6,0.6667,SNR_occ,font
Talia,S08,Dig,20F/HD,6,0.8333,SNR_occ,font
Talia,S09,Dig,10F/M,6,0.6667,SNR_occ,font
Talia,S09,Dig,10F/S,6,0.8333,SNR_occ,font
Talia,S09,Dig,1F,6,0.6667,SNR_occ,font
Talia,S09,Dig,20F/HD,6,0.8333,SNR_occ,font
Talia,S10,Dig,10F/M,6,0.6667,SNR_occ,font
Talia,S10,Dig,10F/S,6,0.6667,SNR_occ,font
Talia,S10,Dig,1F,5,1.0,SNR_occ,font
Talia,S10,Dig,20F/HD,6,0.5,SNR_occ,font
Talia,S11,Dig,10F/M,6,0.5,SNR_occ,font
Talia,S11,Dig,10F/S,6,0.6667,SNR_occ,font
Talia,S11,Dig,1F,6,0.5,SNR_occ,font
Talia,S11,Dig,20F/HD,6,0.6667,SNR_occ,font
Talia,S12,Dig,10F/M,6,0.6667,SNR_occ,font
Talia,S12,Dig,10F/S,6,0.8333,SNR_occ,font
Talia,S12,Dig,1F,6,0.6667,SNR_occ,font
Talia,S12,Dig,20F/HD,6,0.5,SNR_occ,font
Talia,S13,Dig,10F/M,6,0.6667,SNR_occ,font
Talia,S13,Dig,10F/S,6,0.8333,SNR_occ,font
Talia,S13,Dig,1F,6,0.6667,SNR_occ,font
Talia,S13,Dig,20F/HD,6,0.8333,SNR_occ,font
Talia,S14,Dig,10F/M,6,1.0,SNR_occ,font
Talia,S14,Dig,10F/S,6,0.5,SNR_occ,font
Talia,S14,Dig,1F,6,0.6667,SNR_occ,font
Talia,S14,Dig,20F/HD,6,1.0,SNR_occ,font
Talia,S15,Dig,10F/M,6,0.5,SNR_occ,font
Talia,S15,Dig,10F/S,6,0.6667,SNR_occ,font
Talia,S15,Dig,1F,6,0.6667,SNR_occ,font
Talia,S15,Dig,20F/HD,6,0.8333,SNR_occ,font
