dataset,subject,elec_idx,elec,z,p
Angelique,S04,40,F6,1.9716,0.02344
Angelique,S04,41,F8,0.3385,0.38281
Angelique,S04,42,FT8,-1.5852,0.94531
Angelique,S04,43,FC6,1.6713,0.02344
Angelique,S04,44,FC4,1.4173,0.08594
Angelique,S04,45,FC2,1.4896,0.08594
Angelique,S04,46,FCz,1.1063,0.13281
Angelique,S04,47,Cz,1.3465,0.08594
Angelique,S04,48,C2,1.095,0.16406
Angelique,S04,49,C4,1.422,0.10156
Angelique,S04,50,C6,0.7858,0.30469
Angelique,S04,51,T8,-0.1099,0.57031
Angelique,S04,52,TP8,0.8645,0.25781
Angelique,S04,53,CP6,1.2219,0.11719
Angelique,S04,54,CP4,1.4817,0.08594
Angelique,S04,55,CP2,0.4835,0.32031
Angelique,S04,56,P2,1.2491,0.08594
Angelique,S04,57,P4,0.9136,0.17969
Angelique,S04,58,P6,0.6825,0.25781
Angelique,S04,59,P8,0.8866,0.22656
Angelique,S04,60,P10,0.3786,0.41406
Angelique,S04,61,PO8,0.4332,0.36719
Angelique,S04,62,PO4,1.1303,0.13281
Angelique,S04,63,O2,0.1836,0.39844
Angelique,S04,64,PO9,0.6623,0.28906
Angelique,S04,65,I1,1.1591,0.13281
Angelique,S04,66,I2,0.8247,0.22656
Angelique,S04,67,PO10,0.1161,0.44531
Angelique,S05,0,Fp1,0.7856,0.30469
Angelique,S05,1,AF7,-1.6038,0.96094
Angelique,S05,2,AF3,-0.0397,0.53906
Angelique,S05,3,F1,1.037,0.19531
Angelique,S05,4,F3,1.1595,0.14844
Angelique,S05,5,F5,-1.2575,0.86719
Angelique,S05,6,F7,-1.4314,0.91406
Angelique,S05,7,FT7,-0.898,0.77344
Angelique,S05,8,FC5,-0.1644,0.57031
Angelique,S05,9,FC3,0.1401,0.49219
Angelique,S05,10,FC1,1.39,0.08594
Angelique,S05,11,C1,1.5445,0.07031
Angelique,S05,12,C3,0.9626,0.17969
Angelique,S05,13,C5,0.0841,0.47656
Angelique,S05,14,T7,0.2358,0.42969
Angelique,S05,15,TP7,0.9423,0.24219
Angelique,S05,16,CP5,-1.302,0.89844
Angelique,S05,17,CP3,0.2244,0.42969
Angelique,S05,18,CP1,0.0193,0.49219
Angelique,S05,19,P1,0.1226,0.44531
Angelique,S05,20,P3,1.1999,0.11719
Angelique,S05,21,P5,-0.388,0.63281
Angelique,S05,22,P7,0.5758,0.30469
Angelique,S05,23,P9,-0.0996,0.55469
Angelique,S05,24,PO7,-0.5766,0.69531
Angelique,S05,25,PO3,-0.3743,0.67969
Angelique,S05,26,O1,0.193,0.46094
Angelique,S05,27,Iz,-1.1466,0.77344
Angelique,S05,28,Oz,-0.0106,0.52344
Angelique,S05,29,POz,-0.6604,0.71094
Angelique,S05,30,Pz,0.1149,0.39844
Angelique,S05,31,CPz,0.9096,0.19531
Angelique,S05,32,Fpz,0.3807,0.32031
Angelique,S05,33,Fp2,0.2714,0.39844
Angelique,S05,34,AF8,-0.2276,0.67969
Angelique,S05,35,AF4,-0.5633,0.69531
Angelique,S05,36,AFz,0.2697,0.42969
Angelique,S05,37,Fz,0.4734,0.36719
Angelique,S05,38,F2,-0.219,0.57031
Angelique,S05,39,F4,-0.3658,0.64844
Angelique,S05,40,F6,-1.2766,0.88281
Angelique,S05,41,F8,-0.3214,0.67969
Angelique,S05,42,FT8,-0.9056,0.78906
Angelique,S05,43,FC6,-1.1027,0.83594
Angelique,S05,44,FC4,-0.6703,0.72656
Angelique,S05,45,FC2,-0.042,0.50781
Angelique,S05,46,FCz,0.6473,0.32031
Angelique,S05,47,Cz,0.8713,0.16406
Angelique,S05,48,C2,0.3878,0.36719
Angelique,S05,49,C4,-0.157,0.57031
Angelique,S05,50,C6,-0.7651,0.72656
Angelique,S05,51,T8,0.6038,0.28906
Angelique,S05,52,TP8,0.3896,0.36719
Angelique,S05,53,CP6,0.3157,0.38281
Angelique,S05,54,CP4,-0.6014,0.72656
Angelique,S05,55,CP2,0.1193,0.42969
Angelique,S05,56,P2,0.2623,0.38281
