dataset,subject,elec_idx,elec,z,p
Angelique,S05,22,t22,-1.5663,0.91406
Angelique,S05,23,t23,-1.3925,0.89844
Angelique,S05,24,t24,-1.0951,0.86719
Angelique,S05,25,t25,-0.8898,0.78906
Angelique,S05,26,t26,-0.8793,0.77344
Angelique,S05,27,t27,-0.8652,0.78906
Angelique,S05,28,t28,-0.6943,0.74219
Angelique,S05,29,t29,-0.5027,0.69531
Angelique,S05,30,t30,-0.5639,0.67969
Angelique,S05,31,t31,-0.7033,0.75781
Angelique,S05,32,t32,-0.6896,0.72656
Angelique,S05,33,t33,-0.6532,0.71094
Angelique,S05,34,t34,-1.0376,0.85156
Angelique,S05,35,t35,-1.4923,0.91406
Angelique,S05,36,t36,-1.6069,0.94531
Angelique,S05,37,t37,-1.7535,0.97656
Angelique,S05,38,t38,-1.8527,0.97656
Angelique,S05,39,t39,-1.6347,0.97656
Angelique,S05,40,t40,-1.2553,0.83594
Angelique,S05,41,t41,-0.9644,0.78906
Angelique,S05,42,t42,-0.5789,0.69531
Angelique,S05,43,t43,0.0319,0.47656
Angelique,S05,44,t44,0.3217,0.38281
Angelique,S05,45,t45,0.1903,0.46094
Angelique,S05,46,t46,0.0115,0.49219
Angelique,S05,47,t47,-0.0623,0.52344
Angelique,S05,48,t48,0.0912,0.44531
Angelique,S05,49,t49,0.49,0.30469
Angelique,S05,50,t50,0.4586,0.32031
Angelique,S05,51,t51,-0.1494,0.55469
Angelique,S05,52,t52,-0.4815,0.66406
Angelique,S05,53,t53,-0.1871,0.55469
Angelique,S05,54,t54,0.2566,0.41406
Angelique,S05,55,t55,0.6564,0.27344
Angelique,S05,56,t56,0.9183,0.19531
Angelique,S05,57,t57,0.8322,0.22656
Angelique,S05,58,t58,0.2673,0.38281
Angelique,S05,59,t59,-0.8718,0.78906
Angelique,S05,60,t60,-1.7897,0.97656
Angelique,S05,61,t61,-2.1556,0.99219
Angelique,S05,62,t62,-2.1435,0.99219
Angelique,S05,63,t63,-2.0258,0.99219
Angelique,S07,0,t00,1.6535,0.03906
Angelique,S07,1,t01,1.7664,0.02344
Angelique,S07,2,t02,1.7584,0.00781
Angelique,S07,3,t03,1.7148,0.00781
Angelique,S07,4,t04,1.6658,0.02344
Angelique,S07,5,t05,1.6594,0.05469
Angelique,S07,6,t06,1.6217,0.08594
Angelique,S07,7,t07,1.5405,0.08594
Angelique,S07,8,t08,1.4954,0.07031
Angelique,S07,9,t09,1.421,0.08594
Angelique,S07,10,t10,1.3934,0.08594
Angelique,S07,11,t11,1.4971,0.05469
Angelique,S07,12,t12,1.6603,0.03906
Angelique,S07,13,t13,1.6226,0.02344
Angelique,S07,14,t14,1.2746,0.11719
Angelique,S07,15,t15,0.9341,0.21094
Angelique,S07,16,t16,0.8684,0.22656
Angelique,S07,17,t17,0.9247,0.22656
Angelique,S07,18,t18,0.9488,0.17969
Angelique,S07,19,t19,0.6552,0.27344
Angelique,S07,20,t20,0.4779,0.33594
Angelique,S07,21,t21,0.3379,0.39844
Angelique,S07,22,t22,0.2063,0.42969
Angelique,S07,23,t23,0.0795,0.47656
Angelique,S07,24,t24,0.325,0.38281
Angelique,S07,25,t25,1.0389,0.16406
Angelique,S07,26,t26,1.4274,0.07031
Angelique,S07,27,t27,1.5101,0.08594
Angelique,S07,28,t28,1.5309,0.05469
Angelique,S07,29,t29,1.6164,0.05469
Angelique,S07,30,t30,1.7912,0.03906
Angelique,S07,31,t31,1.8796,0.03906
Angelique,S07,32,t32,1.9121,0.03906
Angelique,S07,33,t33,1.8511,0.03906
Angelique,S07,34,t34,1.7243,0.05469
Angelique,S07,35,t35,1.6811,0.05469
Angelique,S07,36,t36,1.6314,0.05469
Angelique,S07,37,t37,1.5624,0.05469
Angelique,S07,38,t38,1.415,0.07031
Angelique,S07,39,t39,1.1393,0.13281
Angelique,S07,40,t40,1.0488,0.17969
Angelique,S07,41,t41,1.1393,0.14844
Angelique,S07,42,t42,0.8812,0.21094
Angelique,S07,43,t43,0.3485,0.36719
Angelique,S07,44,t44,0.0845,0.46094
Angelique,S07,45,t45,0.1843,0.41406
Angelique,S07,46,t46,0.556,0.32031
Angelique,S07,47,t47,0.8834,0.22656
Angelique,S07,48,t48,1.0054,0.17969
Angelique,S07,49,t49,0.9587,0.19531
Angelique,S07,50,t50,0.8667,0.22656
Angelique,S07,51,t51,0.7997,0.25781
Angelique,S07,52,t52,0.8056,0.25781
Angelique,S07,53,t53,0.9268,0.21094
Angelique,S07,54,t54,1.118,0.13281
Angelique,S07,55,t55,1.219,0.10156
Angelique,S07,56,t56,1.2276,0.11719
Angelique,S07,57,t57,1.2229,0.10156
Angelique,S07,58,t58,1.224,0.11719
Angelique,S07,59,t59,1.2076,0.11719
Angelique,S07,60,t60,1.2331,0.11719
Angelique,S07,61,t61,1.2887,0.11719
Angelique,S07,62,t62,1.3237,0.11719
Angelique,S07,63,t63,1.4416,0.08594
Angelique,S08,0,t00,-0.2536,0.61719
Angelique,S08,1,t01,0.0623,0.47656
Angelique,S08,2,t02,0.3591,0.44531
Angelique,S08,3,t03,0.6179,0.24219
Angelique,S08,4,t04,0.6863,0.25781
Angelique,S08,5,t05,0.2117,0.42969
Angelique,S08,6,t06,-0.0841,0.53906
Angelique,S08,7,t07,-0.0546,0.55469
Angelique,S08,8,t08,0.2991,0.39844
Angelique,S08,9,t09,0.5837,0.30469
Angelique,S08,10,t10,0.5398,0.33594
Angelique,S08,11,t11,0.7015,0.24219
