dataset,subject,elec_idx,elec,z,p
Angelique,S05,56,P2,-0.7634,0.75781
Angelique,S05,57,P4,1.9626,0.00781
Angelique,S05,58,P6,0.1525,0.46094
Angelique,S05,59,P8,0.7214,0.25781
Angelique,S05,60,P10,0.7025,0.25781
Angelique,S05,61,PO8,-0.0366,0.52344
Angelique,S05,62,PO4,-1.7836,0.96094
Angelique,S05,63,O2,-1.4644,0.89844
Angelique,S05,64,PO9,0.4107,0.33594
Angelique,S05,65,I1,-0.4305,0.55469
Angelique,S05,66,I2,0.6433,0.33594
Angelique,S05,67,PO10,0.7211,0.24219
Angelique,S07,0,Fp1,1.2947,0.10156
Angelique,S07,1,AF7,1.3429,0.10156
Angelique,S07,2,AF3,1.0624,0.19531
Angelique,S07,3,F1,0.5543,0.33594
Angelique,S07,4,F3,1.2379,0.13281
Angelique,S07,5,F5,0.9709,0.22656
Angelique,S07,6,F7,1.6758,0.03906
Angelique,S07,7,FT7,1.6535,0.00781
Angelique,S07,8,FC5,1.4608,0.10156
Angelique,S07,9,FC3,0.9728,0.25781
Angelique,S07,10,FC1,1.3041,0.08594
Angelique,S07,11,C1,1.1464,0.21094
Angelique,S07,12,C3,0.6224,0.39844
Angelique,S07,13,C5,1.109,0.14844
Angelique,S07,14,T7,1.2123,0.14844
Angelique,S07,15,TP7,1.1528,0.14844
Angelique,S07,16,CP5,1.1056,0.13281
Angelique,S07,17,CP3,-0.0063,0.50781
Angelique,S07,18,CP1,-0.6018,0.71094
Angelique,S07,19,P1,-1.0376,0.80469
Angelique,S07,20,P3,0.4578,0.30469
Angelique,S07,21,P5,0.231,0.47656
Angelique,S07,22,P7,0.3685,0.38281
Angelique,S07,23,P9,0.3217,0.38281
Angelique,S07,24,PO7,1.5014,0.05469
Angelique,S07,25,PO3,-0.6618,0.74219
Angelique,S07,26,O1,0.9072,0.24219
Angelique,S07,27,Iz,1.2061,0.19531
Angelique,S07,28,Oz,1.0083,0.17969
Angelique,S07,29,POz,-0.4569,0.69531
Angelique,S07,30,Pz,-1.3005,0.91406
Angelique,S07,31,CPz,0.2475,0.47656
Angelique,S07,32,Fpz,1.4296,0.07031
Angelique,S07,33,Fp2,0.7845,0.22656
Angelique,S07,34,AF8,0.6465,0.27344
Angelique,S07,35,AF4,1.1732,0.19531
Angelique,S07,36,AFz,0.8966,0.24219
Angelique,S07,37,Fz,0.4651,0.33594
Angelique,S07,38,F2,0.6606,0.25781
Angelique,S07,39,F4,0.5961,0.27344
Angelique,S07,40,F6,-0.0488,0.50781
Angelique,S07,41,F8,0.0271,0.47656
