dataset,subject,measure,z,p,n_assignments
Talia,S07,ress_sym,-1.4485821057870156,0.90625,16
Talia,S07,roi_disc,1.8545619679284495,0.03125,16
Talia,S07,roi_sym,-1.6280863188527956,0.90625,16
Talia,S08,ress_disc,0.9930612941154244,0.15625,16
Talia,S08,ress_sym,-0.8190344998906495,0.78125,16
Talia,S08,roi_disc,0.034486225416743295,0.46875,16
Talia,S08,roi_sym,-0.6738623926470297,0.78125,16
Talia,S09,ress_disc,1.7649620811482565,0.03125,16
Talia,S09,ress_sym,1.889408890349302,0.03125,16
Talia,S09,roi_disc,1.7100868895451058,0.03125,16
Talia,S09,roi_sym,-0.14038954239780957,0.59375,16
Talia,S10,ress_disc,1.6072860591204705,0.09375,16
Talia,S10,ress_sym,0.2607427707945632,0.34375,16
Talia,S10,roi_disc,0.6434109376280551,0.28125,16
Talia,S10,roi_sym,0.46453724283300474,0.40625,16
Talia,S11,ress_disc,1.397642570904548,0.09375,16
Talia,S11,ress_sym,1.3914640213638625,0.03125,16
Talia,S11,roi_disc,0.4766918356046943,0.34375,16
Talia,S11,roi_sym,1.2746335124892794,0.15625,16
Talia,S12,ress_disc,1.657976223749331,0.09375,16
Talia,S12,ress_sym,0.5668374384005367,0.28125,16
Talia,S12,roi_disc,0.7119530901359457,0.28125,16
Talia,S12,roi_sym,-0.14794970541959168,0.59375,16
Talia,S13,ress_disc,1.6111401562163414,0.09375,16
Talia,S13,ress_sym,-0.4891887057479991,0.65625,16
Talia,S13,roi_disc,1.173667762964942,0.15625,16
Talia,S13,roi_sym,-1.1634526407147725,0.84375,16
Talia,S14,ress_disc,-1.4284276633757027,0.90625,16
Talia,S14,ress_sym,1.4628271554319856,0.03125,16
Talia,S14,roi_disc,0.323175846585293,0.40625,16
Talia,S14,roi_sym,0.8782493919414199,0.28125,16
Talia,S15,ress_disc,1.5222161552944697,0.09375,16
Talia,S15,ress_sym,0.23960251372542662,0.40625,16
Talia,S15,roi_disc,-1.034813508479003,0.84375,16
Talia,S15,roi_sym,0.4042365933466983,0.46875,16
