dataset,subject,elec_idx,elec,z,p
Angelique,S05,23,t23,-0.6453,0.72656
Angelique,S05,24,t24,-0.6126,0.69531
Angelique,S05,25,t25,-0.4887,0.67969
Angelique,S05,26,t26,-0.4629,0.66406
Angelique,S05,27,t27,-0.5766,0.71094
Angelique,S05,28,t28,-0.611,0.67969
Angelique,S05,29,t29,-0.4991,0.64844
Angelique,S05,30,t30,-0.3246,0.58594
Angelique,S05,31,t31,-0.3495,0.57031
Angelique,S05,32,t32,-0.7273,0.75781
Angelique,S05,33,t33,-1.2968,0.88281
Angelique,S05,34,t34,-1.6085,0.96094
Angelique,S05,35,t35,-1.503,0.92969
Angelique,S05,36,t36,-1.0335,0.80469
Angelique,S05,37,t37,-0.5366,0.67969
Angelique,S05,38,t38,-0.2044,0.66406
Angelique,S05,39,t39,-0.0188,0.52344
Angelique,S05,40,t40,0.2518,0.39844
Angelique,S05,41,t41,0.5107,0.32031
Angelique,S05,42,t42,0.3997,0.35156
Angelique,S05,43,t43,0.2096,0.39844
Angelique,S05,44,t44,0.404,0.41406
Angelique,S05,45,t45,1.1429,0.17969
Angelique,S05,46,t46,0.9014,0.19531
Angelique,S05,47,t47,0.4337,0.33594
Angelique,S05,48,t48,0.0237,0.47656
Angelique,S05,49,t49,-0.1988,0.55469
Angelique,S05,50,t50,-0.2197,0.58594
Angelique,S05,51,t51,-0.1334,0.55469
Angelique,S05,52,t52,-0.026,0.50781
Angelique,S05,53,t53,-0.0043,0.50781
Angelique,S05,54,t54,-0.1148,0.52344
Angelique,S05,55,t55,-0.2807,0.50781
Angelique,S05,56,t56,-0.3045,0.60156
Angelique,S05,57,t57,-0.1272,0.57031
Angelique,S05,58,t58,0.1401,0.46094
Angelique,S05,59,t59,0.4507,0.36719
Angelique,S05,60,t60,0.7252,0.21094
Angelique,S05,61,t61,0.5625,0.30469
Angelique,S05,62,t62,-0.1033,0.55469
Angelique,S05,63,t63,-0.5701,0.67969
Angelique,S07,0,t00,0.1879,0.47656
Angelique,S07,1,t01,-0.029,0.50781
Angelique,S07,2,t02,-0.1484,0.53906
Angelique,S07,3,t03,-0.1181,0.53906
Angelique,S07,4,t04,-0.1203,0.57031
Angelique,S07,5,t05,-0.3411,0.63281
Angelique,S07,6,t06,-0.8557,0.78906
Angelique,S07,7,t07,-1.5025,0.92969
Angelique,S07,8,t08,-1.7044,0.94531
Angelique,S07,9,t09,-1.5281,0.96094
Angelique,S07,10,t10,-1.2282,0.80469
Angelique,S07,11,t11,-0.9819,0.78906
Angelique,S07,12,t12,-0.9388,0.78906
Angelique,S07,13,t13,-0.9015,0.80469
Angelique,S07,14,t14,-0.6439,0.74219
Angelique,S07,15,t15,-0.2344,0.57031
Angelique,S07,16,t16,-0.0704,0.50781
Angelique,S07,17,t17,-0.4104,0.64844
Angelique,S07,18,t18,-0.7076,0.75781
Angelique,S07,19,t19,-0.9353,0.80469
Angelique,S07,20,t20,-1.0503,0.82031
Angelique,S07,21,t21,-1.0822,0.85156
Angelique,S07,22,t22,-1.1561,0.85156
Angelique,S07,23,t23,-1.2456,0.88281
Angelique,S07,24,t24,-1.273,0.89844
Angelique,S07,25,t25,-1.2635,0.86719
Angelique,S07,26,t26,-1.2219,0.89844
Angelique,S07,27,t27,-1.0464,0.82031
Angelique,S07,28,t28,-0.7813,0.74219
Angelique,S07,29,t29,-0.5924,0.69531
Angelique,S07,30,t30,-0.5675,0.69531
Angelique,S07,31,t31,-0.554,0.67969
Angelique,S07,32,t32,-0.5407,0.63281
Angelique,S07,33,t33,-0.6396,0.63281
Angelique,S07,34,t34,-0.7403,0.71094
Angelique,S07,35,t35,-0.5749,0.67969
Angelique,S07,36,t36,-0.0258,0.50781
Angelique,S07,37,t37,0.6096,0.30469
Angelique,S07,38,t38,1.0006,0.22656
Angelique,S07,39,t39,1.1814,0.13281
Angelique,S07,40,t40,1.2615,0.08594
Angelique,S07,41,t41,1.298,0.07031
