dataset,subject,measure,stat,z,p,n_assignments,q
Talia,S06,csp_diff,3.249588998954171,-0.2236027431606854,0.59375,16,0.6361607142857143
Talia,S07,csp_diff,3.208904304231521,2.304403405676674,0.03125,16,0.15625
Talia,S08,csp_diff,3.095146315743638,0.24232937701144439,0.21875,16,0.46875
Talia,S09,csp_diff,3.3655066973138847,1.696305622743233,0.03125,16,0.15625
Talia,S10,csp_diff,3.24453203350549,1.8192134388716035,0.03125,16,0.15625
Talia,S11,csp_diff,3.078324427582079,0.1984848855670988,0.40625,16,0.5078125
Talia,S12,csp_diff,2.4278361275258873,-0.6067885444596072,0.71875,16,0.71875
Talia,S13,csp_diff,3.4398885830767347,1.1915831889552648,0.21875,16,0.46875
Talia,S14,csp_diff,2.9356665901390353,-0.3923748817278101,0.53125,16,0.6129807692307693
Talia,S15,csp_diff,2.983215136757955,0.8838654784481978,0.21875,16,0.46875
Angelique,S02,csp_mean,2.4515196660684007,-1.0502490166489675,0.8359375,64,0.9453125
Angelique,S03,csp_mean,4.528922379383718,1.0033469070726846,0.2265625,64,0.90234375
Angelique,S04,csp_mean,2.1585955623680455,-0.2168849972774276,0.5546875,64,0.90234375
Angelique,S05,csp_mean,3.739754218971392,-0.6895320322083613,0.7421875,64,0.927734375
Angelique,S07,csp_mean,2.076007814785837,-0.04633308758066542,0.5078125,64,0.90234375
Angelique,S08,csp_mean,2.9133996091124317,0.15341640144965255,0.4609375,64,0.90234375
Angelique,S09,csp_mean,4.25233323778025,0.3357277483661401,0.4140625,64,0.90234375
Angelique,S10,csp_mean,4.290396113461004,-1.2567843027097028,0.9453125,64,0.9453125
Angelique,S11,csp_mean,4.865294617643399,0.012464175534840928,0.5703125,64,0.90234375
Angelique,S13,csp_mean,3.8333453877198496,0.7095272978966061,0.4140625,64,0.90234375
Angelique,S15,csp_mean,4.366343347491591,1.0741144369239215,0.0703125,64,0.703125
Angelique,S16,csp_mean,3.673292140553396,0.7642174213004896,0.390625,32,0.90234375
Angelique,S18,csp_mean,3.4416092763552526,-0.8412975997834864,0.6640625,64,0.927734375
Angelique,S19,csp_mean,4.579240022159613,0.9727233883526587,0.2421875,64,0.90234375
Angelique,S21,csp_mean,2.6007537909278806,0.8358320526132956,0.1328125,64,0.796875
Angelique,S22,csp_mean,3.2782062422318257,0.3530057500283786,0.3515625,64,0.90234375
Angelique,S23,csp_mean,2.425783291650881,-1.078131739215378,0.8515625,64,0.9453125
Angelique,S24,csp_mean,2.7354357722888256,-1.12044021844517,0.9453125,64,0.9453125
Angelique,S25,csp_mean,4.233436317188866,0.6432621842557917,0.2578125,64,0.90234375
Angelique,S26,csp_mean,3.044102101745942,0.8755743843344339,0.3828125,64,0.90234375
Angelique,S27,csp_mean,4.580473922764083,1.4006904825535653,0.0703125,64,0.703125
Angelique,S28,csp_mean,3.2143686394632147,-0.6147464641488187,0.6015625,64,0.90234375
Angelique,S29,csp_mean,2.3323506762660537,-1.3188943926320071,0.8203125,64,0.9453125
Angelique,S31,csp_mean,2.412584708754682,-0.8652845792160684,0.7109375,64,0.927734375
Angelique,S32,csp_mean,3.319034769297969,-0.7371558165160693,0.7265625,64,0.927734375
Angelique,S33,csp_mean,5.087209701235816,1.15532145735431,0.1015625,64,0.76171875
Angelique,S34,csp_mean,2.353724821474155,-0.5549367234180438,0.6015625,64,0.90234375
Angelique,S35,csp_mean,3.6160925301890487,-0.7107768776916668,0.5703125,64,0.90234375
Angelique,S37,csp_mean,1.307425847718412,-1.4269839869182317,0.9453125,64,0.9453125
Angelique,S38,csp_mean,2.219975998415135,1.483131199741512,0.0546875,64,0.703125
Talia,S01,csp_mean,2.4616158278430627,0.20498905462291137,0.46875,16,0.96875
Talia,S02,csp_mean,2.705449075959979,1.6028202552019764,0.03125,16,0.46875
Talia,S03,csp_mean,2.5452470772119735,-1.024726649159676,0.90625,16,0.96875
Talia,S04,csp_mean,2.9556415189942777,-2.021601462681013,0.96875,16,0.96875
Talia,S05,csp_mean,2.9382184589464337,-0.5086789648631186,0.65625,16,0.96875
Talia,S06,csp_mean,2.5465490733484155,-0.894473626501345,0.78125,16,0.96875
Talia,S07,csp_mean,2.8420322871429873,0.20844538643564386,0.34375,16,0.96875
Talia,S08,csp_mean,2.3711163601892262,-1.0870536938270459,0.90625,16,0.96875
Talia,S09,csp_mean,2.3897944571870067,-1.3020424726652877,0.90625,16,0.96875
Talia,S10,csp_mean,3.6455835698927688,-0.5348672304954424,0.71875,16,0.96875
Talia,S11,csp_mean,4.92252054002629,1.1519665156843697,0.09375,16,0.703125
Talia,S12,csp_mean,2.4645663387539556,-1.0302709967878363,0.90625,16,0.96875
Talia,S13,csp_mean,3.063188612741476,-1.0951216411507856,0.90625,16,0.96875
Talia,S14,csp_mean,3.069425939242792,-1.904172282770336,0.96875,16,0.96875
Talia,S15,csp_mean,1.9898765011290602,-0.5806849978266714,0.59375,16,0.96875
