dataset,subject,variant,arm,stat,z,p,n_assignments
Angelique,S18,A1_roimean,ctrl,-1.4951242116730628,-2.1474422461026412,0.984375,64
Angelique,S19,A1_roimean,ctrl,-1.7638499564053,0.61371916341338,0.296875,64
Angelique,S21,A1_roimean,ctrl,-1.3979162477879932,1.8516067695441525,0.046875,64
Angelique,S22,A1_roimean,ctrl,-1.4042312963960306,0.5081279579165492,0.328125,64
Angelique,S23,A1_roimean,ctrl,-2.1247939529468285,-1.673626264591467,0.953125,64
Angelique,S24,A1_roimean,ctrl,-1.8485144295396834,0.9182372654425965,0.234375,64
Angelique,S25,A1_roimean,ctrl,-1.4843582088290823,-0.45836543388325446,0.671875,64
Angelique,S26,A1_roimean,ctrl,-4.49531085026125,-0.8135804341479221,0.765625,64
Angelique,S27,A1_roimean,ctrl,-0.03923952384071979,1.4294659971975179,0.046875,64
Angelique,S28,A1_roimean,ctrl,-1.52252149157135,-1.4168772818484192,0.890625,64
Angelique,S29,A1_roimean,ctrl,-3.0716214467187317,-0.21201901208267587,0.671875,64
Angelique,S31,A1_roimean,ctrl,-0.5587801966910074,1.6293811361530055,0.078125,64
Angelique,S32,A1_roimean,ctrl,-1.2131778105744022,1.1587466097628074,0.140625,64
Angelique,S33,A1_roimean,ctrl,0.49973867834041025,1.3507861287348086,0.109375,64
Angelique,S34,A1_roimean,ctrl,-2.4090748302892124,0.31304375346974356,0.359375,64
Angelique,S35,A1_roimean,ctrl,-0.6980413188024527,0.5982315107715477,0.359375,64
Angelique,S37,A1_roimean,ctrl,-4.206122924184984,-2.245953001381118,0.984375,64
Angelique,S38,A1_roimean,ctrl,-2.8936880391128614,-1.2716035178154526,0.890625,64
Talia,S01,A1_roimean,ctrl,-1.3576988375626104,-0.9903963624442247,0.8125,16
Talia,S02,A1_roimean,ctrl,-2.023067336665404,-0.8580981661315661,0.8125,16
Talia,S03,A1_roimean,ctrl,-2.5544907919057045,0.6418418749627111,0.3125,16
Talia,S04,A1_roimean,ctrl,-1.8285517525052584,-0.7335814378352735,0.8125,16
Talia,S05,A1_roimean,ctrl,-3.3498373501120646,-1.6593564063988562,0.9375,16
Talia,S06,A1_roimean,ctrl,-2.85369837995441,-1.4340031318904893,0.9375,16
Talia,S07,A1_roimean,ctrl,-1.5120775443477075,0.34470992518096427,0.3125,16
Talia,S08,A1_roimean,ctrl,-0.4969371352325088,0.9377679026409088,0.1875,16
Talia,S09,A1_roimean,ctrl,-0.8725801222348576,-0.16598151956243645,0.5625,16
Talia,S10,A1_roimean,ctrl,-2.0714058798108903,-1.458828022362079,0.9375,16
Talia,S11,A1_roimean,ctrl,-1.2710742380075446,0.7634664902569471,0.3125,16
Talia,S12,A1_roimean,ctrl,-0.19634238925842418,0.3025249265546401,0.4375,16
Talia,S13,A1_roimean,ctrl,-1.8193366643330395,1.1267571382818578,0.1875,16
Talia,S14,A1_roimean,ctrl,-1.8944739107364414,-0.7241510349440619,0.6875,16
Talia,S15,A1_roimean,ctrl,-2.700847017019036,-0.05866150054577802,0.5625,16
Angelique,S02,A2_roi8,disc,0.010154832137748563,0.9882286691628588,0.234375,64
Angelique,S03,A2_roi8,disc,0.011971073050621235,1.8044077361942383,0.015625,64
Angelique,S04,A2_roi8,disc,0.015124578164893493,2.0395699762055206,0.015625,64
Angelique,S05,A2_roi8,disc,0.006894343672894928,1.1487017877293648,0.140625,64
Angelique,S07,A2_roi8,disc,0.013296429951199062,1.4906350273805051,0.046875,64
Angelique,S08,A2_roi8,disc,0.00200364946399748,0.5199517492286578,0.296875,64
Angelique,S09,A2_roi8,disc,0.005882166778775388,1.1581820925806225,0.171875,64
Angelique,S10,A2_roi8,disc,-0.001174873381617726,0.3434816826612378,0.296875,64
Angelique,S11,A2_roi8,disc,0.0044784525991963435,0.46766957803996584,0.328125,64
Angelique,S13,A2_roi8,disc,0.012860108854443641,1.2506934199407598,0.203125,64
Angelique,S15,A2_roi8,disc,0.020210051614835436,1.8131684866707245,0.015625,64
Angelique,S16,A2_roi8,disc,0.015385212920354378,2.237963267142387,0.015625,32
Angelique,S18,A2_roi8,disc,0.003404340545203676,0.4901085976675247,0.265625,64
Angelique,S19,A2_roi8,disc,-0.007582235828143695,-0.20540138465925492,0.515625,64
Angelique,S21,A2_roi8,disc,-0.0010924998846876621,0.5739605617484131,0.296875,64
Angelique,S22,A2_roi8,disc,0.007715169972758638,1.5806630228306389,0.078125,64
Angelique,S23,A2_roi8,disc,0.00011723454282858727,-0.07237276860461231,0.546875,64
Angelique,S24,A2_roi8,disc,0.014143122982001564,1.8416843514830943,0.078125,64
Angelique,S25,A2_roi8,disc,0.0019733703541105476,1.020698034092896,0.203125,64
Angelique,S26,A2_roi8,disc,0.0034476326016229845,0.595404188490033,0.296875,64
Angelique,S27,A2_roi8,disc,0.003362405393307204,0.8189769022617339,0.234375,64
Angelique,S28,A2_roi8,disc,0.007516747743105948,0.6277840956377454,0.265625,64
Angelique,S29,A2_roi8,disc,0.0144943700962724,1.707730597619142,0.046875,64
Angelique,S31,A2_roi8,disc,0.0048468215194227195,1.0351721445615794,0.109375,64
Angelique,S32,A2_roi8,disc,0.00791069042914557,1.6269930814761957,0.046875,64
Angelique,S33,A2_roi8,disc,0.007026646477721415,1.1556389032325622,0.078125,64
Angelique,S34,A2_roi8,disc,0.01881370814641584,1.6955650628444945,0.046875,64
Angelique,S35,A2_roi8,disc,0.0034142788585727417,0.667190138145943,0.234375,64
Angelique,S37,A2_roi8,disc,0.01047963200894953,1.8594867278591587,0.015625,64
Angelique,S38,A2_roi8,disc,0.00692941023830744,1.5673101584442477,0.015625,64
Talia,S01,A2_roi8,disc,0.004303544292599978,0.6479309440964239,0.4375,16
Talia,S02,A2_roi8,disc,0.02242704330519644,1.5805299543233078,0.0625,16
Talia,S03,A2_roi8,disc,0.02398886498924302,1.6084466411619922,0.0625,16
Talia,S04,A2_roi8,disc,0.034279097905579106,1.8187441541836211,0.0625,16
Talia,S05,A2_roi8,disc,0.026716214448537452,1.4972023460030754,0.0625,16
Talia,S06,A2_roi8,disc,0.020095156982299203,1.463270968006108,0.0625,16
Talia,S07,A2_roi8,disc,0.022859851936199896,1.7859539043845554,0.0625,16
Talia,S08,A2_roi8,disc,0.012309178124866137,1.7539908786140377,0.0625,16
Talia,S09,A2_roi8,disc,0.055917229138670685,1.9641439446372715,0.0625,16
Talia,S10,A2_roi8,disc,0.03191995999971208,1.7924226774209724,0.0625,16
Talia,S11,A2_roi8,disc,0.034052544134490936,1.856743588810296,0.0625,16
Talia,S12,A2_roi8,disc,0.027195000395933228,1.845298184868267,0.0625,16
Talia,S13,A2_roi8,disc,0.017412338580029968,1.9569427317761292,0.0625,16
Talia,S14,A2_roi8,disc,0.011274094237047762,1.9756693514871717,0.0625,16
Talia,S15,A2_roi8,disc,0.031747748643922664,1.944081466600155,0.0625,16
Angelique,S02,A2_roi8,ctrl,-0.03815237504540644,-0.7900487773335282,0.828125,64
Angelique,S03,A2_roi8,ctrl,-0.014401323677041555,0.5731280193241862,0.296875,64
Angelique,S04,A2_roi8,ctrl,-0.06004734149316624,-0.07410619405693071,0.484375,64
Angelique,S05,A2_roi8,ctrl,-0.003005949254034348,0.8682039961770024,0.234375,64
Angelique,S07,A2_roi8,ctrl,-0.07962876082466734,0.29598457696626523,0.359375,64
Angelique,S08,A2_roi8,ctrl,-0.009238971190292836,0.25063971672911367,0.328125,64
Angelique,S09,A2_roi8,ctrl,-0.022106180778501423,-1.031182391628419,0.796875,64
Angelique,S10,A2_roi8,ctrl,-0.030344508723195968,1.5757222090644687,0.078125,64
Angelique,S11,A2_roi8,ctrl,-0.04396887497168006,-0.1434089849988057,0.546875,64
Angelique,S13,A2_roi8,ctrl,-0.042696978215290976,-0.6286761520478322,0.703125,64
Angelique,S15,A2_roi8,ctrl,-0.04023771462901444,1.1434360218111594,0.203125,64
Angelique,S16,A2_roi8,ctrl,-0.03876082842787634,-0.27200213913733245,0.578125,32
Angelique,S18,A2_roi8,ctrl,-0.02100316113905788,-0.907838462879017,0.765625,64
Angelique,S19,A2_roi8,ctrl,-0.017465185602445372,0.44365279093920135,0.390625,64
Angelique,S21,A2_roi8,ctrl,-0.030435668364567767,-0.025431414895299848,0.515625,64
Angelique,S22,A2_roi8,ctrl,-0.0019409606019360282,1.2433688849023772,0.109375,64
Angelique,S23,A2_roi8,ctrl,-0.014635156900182399,1.0951764047950694,0.109375,64
Angelique,S24,A2_roi8,ctrl,-0.024323068531208317,0.3952538156492374,0.265625,64
Angelique,S25,A2_roi8,ctrl,-0.02046836059859972,-0.43148679771173293,0.609375,64
Angelique,S26,A2_roi8,ctrl,-0.03127866512748065,1.2249783032716972,0.140625,64
Angelique,S27,A2_roi8,ctrl,-0.015742197421746807,0.6355462309946599,0.234375,64
Angelique,S28,A2_roi8,ctrl,-0.030832807483047567,-0.37857374364270574,0.515625,64
Angelique,S29,A2_roi8,ctrl,-0.04189114286708829,-1.2114541894935273,0.828125,64
Angelique,S31,A2_roi8,ctrl,-0.05598323514601669,-0.9422936157193641,0.796875,64
Angelique,S32,A2_roi8,ctrl,0.002271023458098788,1.3021314936722548,0.140625,64
Angelique,S33,A2_roi8,ctrl,-0.00014636075222085958,1.7158212353557802,0.078125,64
Angelique,S34,A2_roi8,ctrl,-0.02346195113714847,0.4519823168600802,0.328125,64
Angelique,S35,A2_roi8,ctrl,-0.017051558514924337,-0.6282148446701452,0.640625,64
