subject,dataset,modality,n_seq,purity_gmm,ari_gmm,blocknull_gmm,blockp_gmm,cohesion_gmm,cohesion0_gmm,purity_kmeans,ari_kmeans,blocknull_kmeans,blockp_kmeans,cohesion_kmeans,cohesion0_kmeans,silhouette,silhouette_label,feature,level
S28,Angelique,Dig,12,0.8333,0.3956,0.6325,0.0979,0.6667,0.5556,0.75,0.1773,0.633,0.2979,0.5,0.5139,0.3418,0.2642,diffERP_occ,modality
S28,Angelique,NumWoGE,12,1.0,1.0,0.6993,0.0979,1.0,0.5,1.0,1.0,0.6993,0.0979,1.0,0.5,0.5611,0.5611,diffERP_occ,modality
S29,Angelique,Dig,12,0.6667,0.033,0.5668,0.4012,0.3333,0.5556,0.6667,0.0222,0.6002,0.6013,0.3333,0.5,0.4749,0.0085,diffERP_occ,modality
S29,Angelique,NumWoGE,12,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.5485,-0.0523,diffERP_occ,modality
S31,Angelique,Dig,12,0.5833,-0.0665,0.6336,1.0,0.5,0.5139,0.5833,-0.0665,0.6336,1.0,0.5,0.5139,0.5967,-0.0293,diffERP_occ,modality
S31,Angelique,NumWoGE,12,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.5339,-0.1057,diffERP_occ,modality
S32,Angelique,Dig,12,0.8333,0.3956,0.6336,0.4009,1.0,0.5556,0.75,0.1773,0.6664,0.4009,0.8333,0.5139,0.424,0.313,diffERP_occ,modality
S32,Angelique,NumWoGE,12,0.5833,-0.0665,0.6333,1.0,0.5,0.5139,0.5833,-0.0665,0.6333,1.0,0.5,0.5139,0.4051,-0.0325,diffERP_occ,modality
S33,Angelique,Dig,12,0.5833,-0.0434,0.5994,1.0,0.5,0.625,0.6667,0.0222,0.5998,0.5986,0.3333,0.5,0.3074,0.1564,diffERP_occ,modality
S33,Angelique,NumWoGE,12,0.5833,-0.0434,0.6002,1.0,0.5,0.625,0.5833,-0.0434,0.6002,1.0,0.5,0.625,0.6996,0.0194,diffERP_occ,modality
S34,Angelique,Dig,12,0.9167,0.6648,0.6665,0.0979,0.8333,0.5139,0.9167,0.6648,0.6665,0.0979,0.8333,0.5139,0.9403,0.7027,diffERP_occ,modality
S34,Angelique,NumWoGE,12,0.8333,0.3889,0.6328,0.1992,0.6667,0.5,0.8333,0.3889,0.6328,0.1992,0.6667,0.5,0.4833,0.2533,diffERP_occ,modality
S35,Angelique,Dig,12,0.6667,0.0222,0.5997,0.5982,0.3333,0.5,0.8333,0.3889,0.6321,0.1956,0.6667,0.5,0.3665,0.2465,diffERP_occ,modality
S35,Angelique,NumWoGE,12,0.8333,0.3889,0.6337,0.2012,0.6667,0.5,0.75,0.1773,0.6336,0.3019,0.5,0.5139,0.5463,0.2451,diffERP_occ,modality
S37,Angelique,Dig,12,0.5,-0.0879,0.6343,1.0,0.6667,0.5556,0.5,-0.0879,0.6343,1.0,0.6667,0.5556,0.4312,-0.0683,diffERP_occ,modality
S37,Angelique,NumWoGE,12,0.5,-0.1,0.5996,1.0,0.3333,0.5,0.5,-0.1,0.5996,1.0,0.3333,0.5,0.6273,-0.0143,diffERP_occ,modality
S38,Angelique,Dig,12,0.6667,0.0222,0.5994,0.5963,0.3333,0.5,0.5833,-0.0665,0.6331,1.0,0.5,0.5139,0.4861,0.0843,diffERP_occ,modality
S38,Angelique,NumWoGE,12,0.5,-0.1,0.6009,1.0,0.3333,0.5,0.5,-0.1,0.6009,1.0,0.3333,0.5,0.3795,-0.0366,diffERP_occ,modality
S01,Talia,Dig,24,0.625,0.0227,0.6107,0.5696,0.5,0.2969,0.5417,-0.0379,0.575,1.0,0.125,0.2552,0.3643,-0.0324,diffERP_occ,modality
S02,Talia,Dig,24,0.625,0.0202,0.5912,0.4787,0.25,0.2552,0.5833,-0.0164,0.5849,0.7113,0.25,0.25,0.3905,-0.002,diffERP_occ,modality
S03,Talia,Dig,24,0.9167,0.6806,0.63,0.0305,0.75,0.25,0.875,0.5428,0.6261,0.0305,0.625,0.2552,0.4538,0.3079,diffERP_occ,modality
S04,Talia,Dig,24,0.7917,0.3122,0.6188,0.0904,0.625,0.2969,0.8333,0.4199,0.623,0.0609,0.625,0.2708,0.5517,0.3243,diffERP_occ,modality
S05,Talia,Dig,24,0.5,-0.0402,0.566,1.0,0.25,0.3333,0.7083,0.1363,0.5917,0.1177,0.25,0.2552,0.3404,0.1654,diffERP_occ,modality
S06,Talia,Dig,24,0.7083,0.1363,0.6032,0.1986,0.375,0.2552,0.5833,-0.0151,0.5977,0.7712,0.375,0.2708,0.4238,0.0815,diffERP_occ,modality
S07,Talia,Dig,24,0.7083,0.1385,0.6001,0.1732,0.375,0.2969,0.8333,0.4221,0.6157,0.0305,0.625,0.3333,0.4535,0.2782,diffERP_occ,modality
S08,Talia,Dig,24,0.625,0.0227,0.5657,0.2884,0.125,0.2969,0.5,-0.0455,0.5713,1.0,0.125,0.25,0.3892,0.0527,diffERP_occ,modality
S09,Talia,Dig,24,0.7917,0.3122,0.6117,0.0586,0.5,0.2969,0.7917,0.3105,0.6044,0.0305,0.375,0.2552,0.5084,0.286,diffERP_occ,modality
S10,Talia,Dig,23,0.6957,0.1129,0.6224,0.3202,0.625,0.2826,0.6957,0.1129,0.6224,0.3202,0.625,0.2826,0.3915,0.0889,diffERP_occ,modality
S11,Talia,Dig,24,0.7917,0.3157,0.626,0.1472,0.75,0.3802,0.7917,0.3105,0.6155,0.0895,0.5,0.2552,0.3869,0.3186,diffERP_occ,modality
S12,Talia,Dig,24,1.0,1.0,0.6313,0.0305,1.0,0.25,1.0,1.0,0.6313,0.0305,1.0,0.25,0.4475,0.4475,diffERP_occ,modality
S13,Talia,Dig,24,0.625,0.0227,0.5826,0.3995,0.25,0.2969,0.5833,-0.0151,0.5786,0.6548,0.25,0.2708,0.4843,0.0867,diffERP_occ,modality
S14,Talia,Dig,24,0.9167,0.6806,0.631,0.0305,0.75,0.25,0.8333,0.4199,0.6224,0.0593,0.625,0.2708,0.4578,0.3012,diffERP_occ,modality
S15,Talia,Dig,24,0.5833,-0.0151,0.5633,0.6499,0.125,0.2708,0.625,0.0202,0.5748,0.3709,0.125,0.2552,0.4963,0.0113,diffERP_occ,modality
