dataset,subject,modality,font,delta_snr,mean_par_snr,mean_ctrl_snr,delta_erp,mean_par_erp,mean_ctrl_erp
Angelique,S28,Dig,20F/S,-0.32891836762428284,0.9342395961284637,1.2631579637527466,0.02267254889011383,0.47036659717559814,0.4476940482854843
Angelique,S28,NumWoGE,1F,-1.0128313899040222,1.4872317910194397,2.500063180923462,-0.13360746204853058,0.4349016100168228,0.5685090720653534
Angelique,S28,NumWoGE,20F/A,-0.1440952718257904,1.3025315403938293,1.4466268122196198,0.008474141359329224,0.5105619132518768,0.5020877718925476
Angelique,S28,NumWoGE,20F/S,-0.10385537147521973,1.1603611707687378,1.2642165422439575,-0.02722063660621643,0.4548126608133316,0.48203329741954803
Angelique,S29,Dig,1F,0.08958488702774048,1.196880042552948,1.1072951555252075,0.043404340744018555,0.8994556963443756,0.8560513556003571
Angelique,S29,Dig,20F/A,0.10783717036247253,0.7690520882606506,0.6612149178981781,0.059344083070755005,0.8085620701313019,0.7492179870605469
Angelique,S29,Dig,20F/S,0.35497331619262695,1.2434535324573517,0.8884802162647247,-0.07116255164146423,0.6412268280982971,0.7123893797397614
Angelique,S29,NumWoGE,1F,-1.5990318953990936,1.3087767660617828,2.9078086614608765,-0.09092536568641663,0.8237437009811401,0.9146690666675568
Angelique,S29,NumWoGE,20F/A,-0.5177540481090546,0.9615062475204468,1.4792602956295013,-0.186143696308136,0.7665686011314392,0.9527122974395752
Angelique,S29,NumWoGE,20F/S,-0.2985689640045166,0.8678894340991974,1.166458398103714,-0.03103053569793701,0.7786871790885925,0.8097177147865295
Angelique,S31,Dig,1F,0.7368778884410858,1.7846145629882812,1.0477366745471954,0.09066225588321686,0.4783930033445358,0.38773074746131897
Angelique,S31,Dig,20F/A,1.2069881558418274,2.0040420293807983,0.797053873538971,0.07570387423038483,0.419980525970459,0.34427665174007416
Angelique,S31,Dig,20F/S,0.4334550052881241,0.9719791263341904,0.5385241210460663,0.01250198483467102,0.3412310779094696,0.3287290930747986
Angelique,S31,NumWoGE,1F,-0.5011967122554779,0.9383577406406403,1.4395544528961182,-0.010241448879241943,0.3838963955640793,0.39413784444332123
Angelique,S31,NumWoGE,20F/A,-0.617313951253891,0.8703422248363495,1.4876561760902405,-0.04485698044300079,0.3443682789802551,0.3892252594232559
Angelique,S31,NumWoGE,20F/S,0.12438002228736877,1.2717497944831848,1.147369772195816,-0.03317134082317352,0.37789036333560944,0.41106170415878296
Angelique,S32,Dig,1F,-0.32246431708335876,0.6921229660511017,1.0145872831344604,-0.004967033863067627,0.599012941122055,0.6039799749851227
Angelique,S32,Dig,20F/A,0.6639437973499298,1.4789496064186096,0.8150058090686798,0.13341712951660156,0.6224234402179718,0.48900631070137024
Angelique,S32,Dig,20F/S,0.07231485843658447,1.4241962432861328,1.3518813848495483,0.044571518898010254,0.6337889432907104,0.5892174243927002
Angelique,S32,NumWoGE,1F,-1.296353042125702,0.6393447518348694,1.9356977939605713,-0.060777753591537476,0.6704304814338684,0.7312082350254059
Angelique,S32,NumWoGE,20F/A,0.028528869152069092,0.9087434411048889,0.8802145719528198,0.025461018085479736,0.619826465845108,0.5943654477596283
Angelique,S32,NumWoGE,20F/S,0.23666468262672424,1.6357708871364594,1.399106204509735,0.16947036981582642,0.7601024508476257,0.5906320810317993
Angelique,S33,Dig,1F,-0.3623584508895874,1.4937162399291992,1.8560746908187866,-0.06747528910636902,0.5137123018503189,0.5811875909566879
Angelique,S33,Dig,20F/A,0.9227800369262695,1.6222102642059326,0.6994302272796631,-0.06573398411273956,0.4977297931909561,0.5634637773036957
Angelique,S33,Dig,20F/S,0.08866780996322632,0.8925970792770386,0.8039292693138123,0.0648990124464035,0.5525910258293152,0.4876920133829117
Angelique,S33,NumWoGE,1F,0.22875922918319702,1.9186621308326721,1.689902901649475,0.05890172719955444,0.6445271074771881,0.5856253802776337
Angelique,S33,NumWoGE,20F/A,0.4334958642721176,1.0211737751960754,0.5876779109239578,0.023484572768211365,0.44755886495113373,0.42407429218292236
