dataset,subject,modality,font_label,condition,seq_name,block_id,snr_disc_all,global_SNR_3.75,global_SNR_7.5,global_SNR_11.25,global_SNR_15,global_SNR_18.75,global_logP_3.75,global_logP_7.5,global_logP_11.25,global_logP_15,global_logP_18.75,global_SNR_ratio
Angelique,S19,NumWoGE,20F/S,Par,sequence_1,S19|NumWoGE|20F/S|Par,1.0133942365646362,1.0133942365646362,2.416661024093628,0.863603413105011,3.2429921627044678,1.381024718284607,6.3815436363220215,6.924729347229004,6.293463706970215,6.469089031219482,6.183639049530029,100.64446258544922
Angelique,S20,Dig,1F,Control,sequence_0,S20|Dig|1F|Control,0.7602778077125549,0.7602778077125549,2.161417245864868,1.2724415063858032,3.291159152984619,1.2176579236984253,6.4459381103515625,7.28737211227417,6.631192207336426,6.75770902633667,5.833213806152344,2.1575307846069336
Angelique,S20,Dig,1F,Control,sequence_1,S20|Dig|1F|Control,0.7529650330543518,0.7529650330543518,2.061910629272461,1.3568326234817505,2.136211633682251,1.439186930656433,6.512993335723877,7.6237640380859375,6.791467189788818,6.481021404266357,6.028192520141602,1.653846025466919
Angelique,S20,Dig,1F,Par,sequence_0,S20|Dig|1F|Par,1.0318124294281006,1.0318124294281006,3.0156335830688477,1.2159961462020874,4.474124908447266,1.3939542770385742,6.467738628387451,7.11470890045166,6.587109565734863,6.679628849029541,5.96151065826416,2.4782421588897705
Angelique,S20,Dig,1F,Par,sequence_1,S20|Dig|1F|Par,1.864155650138855,1.864155650138855,3.082710027694702,2.4818553924560547,2.3494009971618652,0.5743131637573242,6.82804012298584,6.948461055755615,6.888808250427246,6.25593376159668,5.52608585357666,3.301323652267456
Angelique,S20,Dig,20F/A,Control,sequence_0,S20|Dig|20F/A|Control,1.1491403579711914,1.1491403579711914,8.684686660766602,0.6318888068199158,2.3385746479034424,0.7237836122512817,6.582897186279297,7.353921413421631,6.051806926727295,6.274317741394043,5.834738731384277,1.030543565750122
Angelique,S20,Dig,20F/A,Control,sequence_1,S20|Dig|20F/A|Control,0.9618897438049316,0.9618897438049316,5.799954891204834,1.9526420831680298,1.13320791721344,0.9326949119567871,6.57750129699707,7.545635223388672,7.051105976104736,5.9611053466796875,5.829019069671631,0.2391742318868637
Angelique,S20,Dig,20F/A,Par,sequence_0,S20|Dig|20F/A|Par,1.6417949199676514,1.6417949199676514,6.957479953765869,0.8255767822265625,2.445556163787842,1.654634714126587,6.642738342285156,7.363082408905029,6.434061527252197,6.298884391784668,6.049096584320068,0.6993581056594849
Angelique,S20,Dig,20F/A,Par,sequence_1,S20|Dig|20F/A|Par,1.3186763525009155,1.3186763525009155,1.9233533143997192,0.8939825892448425,1.06610107421875,0.6201615333557129,6.670053482055664,7.516968250274658,6.358458518981934,6.054976940155029,5.719548225402832,1.2537997961044312
Angelique,S20,Dig,20F/S,Control,sequence_0,S20|Dig|20F/S|Control,0.6490899324417114,0.6490899324417114,5.439159393310547,0.5156701803207397,3.0309596061706543,1.9741793870925903,6.242229461669922,7.252279281616211,5.973844051361084,6.430065631866455,6.087200164794922,0.19698096811771393
Angelique,S20,Dig,20F/S,Control,sequence_1,S20|Dig|20F/S|Control,1.4098386764526367,1.4098386764526367,5.139418125152588,0.6915318965911865,2.0623111724853516,1.5657826662063599,6.599816799163818,7.244234561920166,6.093067169189453,6.236320972442627,5.9369072914123535,0.8078001737594604
Angelique,S20,Dig,20F/S,Par,sequence_0,S20|Dig|20F/S|Par,1.0800014734268188,1.0800014734268188,6.169940948486328,2.1420390605926514,1.836045265197754,1.914777398109436,6.5180277824401855,7.285593032836914,6.668122291564941,6.165486812591553,6.12010383605957,1.1576670408248901
Angelique,S20,Dig,20F/S,Par,sequence_1,S20|Dig|20F/S|Par,0.6335523724555969,0.6335523724555969,5.113900184631348,0.5159753561019897,2.0030710697174072,1.0103598833084106,6.273852825164795,7.25389289855957,6.219051361083984,6.252124786376953,5.8765869140625,0.24479790031909943
Angelique,S20,NumWoGE,1F,Control,sequence_0,S20|NumWoGE|1F|Control,0.9961003661155701,0.9961003661155701,1.1766724586486816,2.3886032104492188,3.7903432846069336,0.8064294457435608,6.3341064453125,7.108730316162109,7.072350025177002,6.668880462646484,5.755880355834961,4.199403285980225
